25,26,27,174,174,25,26,27,175,365,162,163,164,165,365,173,174,25,26,27,174,365,174,25,26,27,174,365,174,25,26,27
46,47,48,174,174,46,47,48,175,365,188,189,190,191,365,173,174,46,47,48,174,365,174,46,47,48,174,365,174,46,47,48
67,68,69,174,174,67,68,69,175,365,162,163,164,165,365,173,174,67,68,69,174,365,174,67,68,69,174,365,174,67,68,69
88,89,90,174,174,88,89,90,175,365,188,189,190,191,365,173,174,88,89,90,174,365,174,88,89,90,174,365,174,88,89,90
109,110,111,195,195,109,110,111,196,365,21,22,23,24,365,194,195,109,110,111,195,365,195,109,110,111,195,365,195,109,110,111
365,365,365,365,365,365,365,365,365,365,47,48,49,50,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
-1610612548,-1610612574,-1610612548,-1610612574,-1610612548,-1610612574,-1610612548,-1610612574,-1610612548,-1610612574,250,251,252,253,-1610612689,-1610612715,-1610612548,-1610612574,-1610612548,-1610612574,-1610612548,-1610612574,-1610612548,-1610612574,-1610612548,-1610612574,-1610612548,-1610612574,-1610612548,-1610612574,-1610612548,-1610612574
-1610612547,-1610612573,-1610612547,-1610612573,-1610612547,-1610612573,-1610612547,-1610612573,-1610612547,-1610612573,162,163,164,165,-1610612688,-1610612714,-1610612547,-1610612573,-1610612547,-1610612573,-1610612547,-1610612573,-1610612547,-1610612573,-1610612547,-1610612573,-1610612547,-1610612573,-1610612547,-1610612573,-1610612547,-1610612573
-1610612546,-1610612572,-1610612546,-1610612572,-1610612546,-1610612572,-1610612546,-1610612572,-1610612546,-1610612572,188,189,190,191,-1610612687,-1610612713,-1610612546,-1610612572,-1610612546,-1610612572,-1610612546,-1610612572,-1610612546,-1610612572,-1610612546,-1610612572,-1610612546,-1610612572,-1610612546,-1610612572,-1610612546,-1610612572
-1610612545,-1610612571,-1610612545,-1610612571,-1610612545,-1610612571,-1610612545,-1610612571,-1610612545,-1610612571,328,329,330,331,-1610612686,-1610612712,-1610612545,-1610612571,-1610612545,-1610612571,-1610612545,-1610612571,-1610612545,-1610612571,-1610612545,-1610612571,-1610612545,-1610612571,-1610612545,-1610612571,-1610612545,-1610612571
365,365,365,365,365,365,365,365,365,365,6,7,8,9,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
4,5,6,153,365,153,4,5,6,365,32,33,34,35,365,152,153,4,5,6,153,365,153,4,5,6,153,365,153,4,5,6
25,26,27,174,365,174,25,26,27,365,32,33,34,35,365,173,174,25,26,27,174,365,174,25,26,27,174,365,174,25,26,27
46,47,48,174,365,174,46,47,48,365,6,7,8,9,365,173,174,46,47,48,174,365,174,46,47,48,174,365,174,46,47,48
67,68,69,174,365,174,67,68,69,365,32,33,34,35,365,173,174,67,68,69,174,365,174,67,68,69,174,365,174,67,68,69
88,89,90,174,365,174,88,89,90,365,6,7,8,9,365,173,174,88,89,90,174,365,174,88,89,90,174,365,174,88,89,90
109,110,111,174,365,174,109,110,111,365,32,33,34,35,365,173,174,109,110,111,174,365,174,109,110,111,174,365,174,109,110,111
