157,158,159,-1,-1,157,158,159,-1,-1,2,3,-1,-1,-1,-1,-1,157,158,159,-1,-1,-1,157,158,159,-1,-1,-1,157,158,159
178,179,180,-1,90,178,179,180,-1,-1,12,13,-1,-1,-1,-1,-1,178,179,180,-1,90,-1,178,179,180,-1,90,-1,178,179,180
-1,-1,-1,238,114,-1,-1,-1,238,-1,22,23,-1,-1,-1,-1,-1,-1,-1,-1,238,114,-1,-1,-1,-1,238,114,-1,-1,-1,-1
7,8,-1,262,138,7,8,-1,262,-1,32,33,-1,-1,-1,-1,-1,7,8,-1,262,138,-1,7,8,-1,262,138,-1,7,8,-1
23,24,-1,286,162,23,24,-1,286,-1,-1,-1,84,85,-1,-1,-1,23,24,-1,286,162,-1,23,24,-1,286,162,-1,23,24,-1
-1,-1,-1,-1,186,-1,-1,-1,-1,-1,109,109,108,109,-1,-1,-1,-1,-1,-1,-1,186,-1,-1,-1,-1,-1,186,-1,-1,-1,-1
-1,-1,-1,-1,90,-1,-1,-1,1610612760,1610612786,-1,-1,-1,-1,-1,-1,73,74,-1,-1,-1,90,-1,-1,73,74,-1,-1,90,-1,-1,-1
-1,-1,-1,-1,114,-1,-1,-1,1610612759,1610612785,-1,-1,-1,-1,-1,-1,83,84,-1,-1,-1,114,-1,-1,83,84,-1,-1,114,-1,-1,-1
-1,-1,-1,-1,138,-1,-1,-1,1610612758,1610612784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,138,-1,-1,-1,-1,-1,-1,138,-1,73,74
1,2,3,-1,162,-1,-1,-1,1610612757,1610612783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,162,-1,-1,-1,-1,-1,-1,162,-1,83,84
5,6,7,-1,186,-1,-1,-1,-1,-1,99,100,101,102,-1,-1,-1,-1,-1,-1,-1,186,-1,-1,-1,-1,-1,-1,186,-1,-1,-1
178,179,180,-1,-1,-1,178,179,180,-1,125,126,127,128,-1,-1,-1,178,179,180,-1,-1,-1,178,179,180,-1,-1,-1,178,179,180
157,158,159,-1,-1,-1,157,158,159,-1,-1,-1,-1,-1,-1,-1,-1,157,158,159,-1,-1,-1,157,158,159,-1,-1,-1,157,158,159
178,179,180,-1,-1,-1,178,179,180,-1,-1,-1,0,1,-1,-1,-1,178,179,180,-1,-1,-1,178,179,180,-1,-1,-1,178,179,180
-1,-1,-1,238,-1,-1,-1,-1,-1,-1,-1,-1,10,11,-1,-1,-1,-1,-1,-1,238,-1,-1,-1,-1,-1,238,-1,-1,-1,-1,-1
100,101,102,262,-1,-1,100,101,102,-1,-1,-1,20,21,-1,-1,-1,100,101,102,262,-1,-1,100,101,102,262,-1,-1,100,101,102
121,122,123,286,-1,-1,121,122,123,-1,-1,-1,30,31,-1,-1,-1,121,122,123,286,-1,-1,121,122,123,286,-1,-1,121,122,123
